,Year,Type,Distance_km,Stage
0,1903,Flat,268.0,1
1,1903,Flat,423.0,1
2,1903,Flat,425.0,1
3,1903,Flat,467.0,1
4,1903,Flat,471.0,1
5,1903,Stage with mountains,374.0,1
6,1904,Flat,268.0,1
7,1904,Flat,424.0,1
8,1904,Flat,425.0,1
9,1904,Flat,467.0,1
10,1904,Flat,471.0,1
11,1904,Stage with mountains,374.0,1
12,1905,Flat,167.0,1
13,1905,Flat,192.0,1
14,1905,Flat,253.0,1
15,1905,Flat,257.0,1
16,1905,Flat,263.0,1
17,1905,Flat,268.0,1
18,1905,Flat,307.0,1
19,1905,Flat,327.0,1
20,1905,Flat,340.0,1
21,1905,Stage with mountains,299.0,1
22,1905,Stage with mountains,348.0,1
23,1906,Flat,259.0,1
24,1906,Flat,275.0,1
25,1906,Flat,292.0,1
26,1906,Flat,300.0,1
27,1906,Flat,311.0,1
28,1906,Flat,321.0,1
29,1906,Flat,338.0,1
30,1906,Flat,391.0,1
31,1906,Flat,400.0,1
32,1906,Flat,415.0,1
33,1906,Flat,480.0,1
34,1906,Stage with mountains,345.0,1
35,1906,Stage with mountains,416.0,1
36,1907,Flat,251.0,1
37,1907,Flat,269.0,1
38,1907,Flat,272.0,1
39,1907,Flat,299.0,1
40,1907,Flat,303.0,1
41,1907,Flat,321.0,1
42,1907,Flat,345.0,1
43,1907,Flat,391.0,1
44,1907,Flat,398.0,1
45,1907,Flat,415.0,1
46,1907,Stage with mountains,259.0,1
47,1907,Stage with mountains,309.0,1
48,1907,Stage with mountains,311.0,1
49,1907,Stage with mountains,345.0,1
50,1908,Flat,251.0,1
51,1908,Flat,269.0,1
52,1908,Flat,272.0,1
53,1908,Flat,299.0,1
54,1908,Flat,303.0,1
55,1908,Flat,321.0,1
56,1908,Flat,354.0,1
57,1908,Flat,391.0,1
58,1908,Flat,398.0,1
59,1908,Flat,415.0,1
60,1908,Stage with mountains,259.0,1
61,1908,Stage with mountains,309.0,1
62,1908,Stage with mountains,311.0,1
63,1908,Stage with mountains,345.0,1
64,1909,Flat,250.0,1
65,1909,Flat,269.0,1
66,1909,Flat,272.0,1
67,1909,Flat,299.0,1
68,1909,Flat,303.0,1
69,1909,Flat,321.0,1
70,1909,Flat,345.0,1
71,1909,Flat,391.0,1
72,1909,Flat,398.0,1
73,1909,Flat,424.0,1
74,1909,Stage with mountains,259.0,1
75,1909,Stage with mountains,309.0,1
76,1909,Stage with mountains,311.0,1
77,1909,Stage with mountains,346.0,1
78,1910,Flat,216.0,1
79,1910,Flat,262.0,1
80,1910,Flat,269.0,2
81,1910,Flat,321.0,1
82,1910,Flat,345.0,1
83,1910,Flat,391.0,1
84,1910,Flat,398.0,1
85,1910,Flat,424.0,1
86,1910,Stage with mountains,259.0,1
87,1910,Stage with mountains,289.0,1
88,1910,Stage with mountains,309.0,1
89,1910,Stage with mountains,311.0,1
90,1910,Stage with mountains,326.0,1
91,1910,Stage with mountains,345.0,1
92,1911,Flat,317.0,1
93,1911,Flat,335.0,1
94,1911,Flat,351.0,1
95,1911,Flat,361.0,1
96,1911,Flat,379.0,1
97,1911,Flat,388.0,1
98,1911,Flat,405.0,1
99,1911,Flat,470.0,1
100,1911,Stage with mountains,289.0,1
101,1911,Stage with mountains,326.0,1
102,1911,Stage with mountains,331.0,1
103,1911,Stage with mountains,334.0,1
104,1911,Stage with mountains,344.0,1
105,1911,Stage with mountains,348.0,1
106,1911,Stage with mountains,366.0,1
107,1912,Flat,317.0,1
108,1912,Flat,335.0,1
109,1912,Flat,351.0,1
110,1912,Flat,361.0,1
111,1912,Flat,379.0,1
112,1912,Flat,388.0,1
113,1912,Flat,405.0,1
114,1912,Flat,470.0,1
115,1912,Stage with mountains,289.0,1
116,1912,Stage with mountains,323.0,1
117,1912,Stage with mountains,326.0,1
118,1912,Stage with mountains,331.0,1
119,1912,Stage with mountains,334.0,1
120,1912,Stage with mountains,344.0,1
121,1912,Stage with mountains,366.0,1
122,1913,Flat,325.0,1
123,1913,Flat,340.0,1
124,1913,Flat,364.0,1
125,1913,Flat,379.0,1
126,1913,Flat,388.0,1
127,1913,Flat,393.0,1
128,1913,Flat,405.0,1
129,1913,Flat,470.0,1
130,1913,Stage with mountains,324.0,1
131,1913,Stage with mountains,325.0,2
132,1913,Stage with mountains,326.0,1
133,1913,Stage with mountains,333.0,1
134,1913,Stage with mountains,335.0,1
135,1913,Stage with mountains,356.0,1
136,1914,Flat,340.0,1
137,1914,Flat,364.0,1
138,1914,Flat,370.0,1
139,1914,Flat,376.0,1
140,1914,Flat,388.0,1
141,1914,Flat,390.0,1
142,1914,Flat,405.0,1
143,1914,Flat,470.0,1
144,1914,Stage with mountains,323.0,2
145,1914,Stage with mountains,325.0,3
146,1914,Stage with mountains,326.0,1
147,1914,Stage with mountains,338.0,1
148,1919,Flat,315.0,1
149,1919,Flat,340.0,1
