City,Count,Latitude,Longitude
 Bordeaux,74,44.841225,-0.5800364
 Paris,62,48.8534951,2.3483915
 Pau,62,43.2957547,-0.3685668
 Paris (Champs-Élysées),45,48.8707573,2.3053312
 Luchon,43,42.7910617,0.5912279
 Metz,37,49.1196964,6.1763552
 Perpignan,35,42.6985304,2.8953121
 Marseille,34,43.2961743,5.3699525
 Grenoble,34,45.1875602,5.7357819
 Caen,33,49.1813403,-0.3635615
 Briançon,33,44.8984037,6.6436313
 Nice,32,43.7009358,7.2683912
 Alpe d'Huez,31,45.092401,6.0699443
 Bayonne,30,43.4945144,-1.4736657
 Montpellier,29,43.6112422,3.8767337
 Nantes,27,47.2186371,-1.5541362
 Brest,26,48.3905283,-4.4860088
 Toulouse,26,43.6044622,1.4442469
 Gap,24,44.5612032,6.0820639
 Saint-Étienne,23,45.4401467,4.3873058
 Roubaix,22,50.6915893,3.1741734
 Belfort,22,47.6379599,6.8628942
 Aix-les-Bains,22,45.6886292,5.9146362
 Strasbourg,21,48.584614,7.7507127
 Le Havre,19,49.4938975,0.1079732
 La Rochelle,19,46.1591126,-1.1520434
 Nîmes,19,43.8374249,4.3600687
 Besançon,18,47.2380222,6.0243622
 Lyon,17,45.7578137,4.8320114
 Rouen,16,49.4404591,1.0939658
 Cherbourg-en-Cotentin,15,49.6425343,-1.6249565
 Nancy,15,48.6937223,6.1834097
 Morzine,15,46.1799561,6.7091057
 Rennes,14,48.1113387,-1.6800198
 Angers,13,47.4739884,-0.5515588
 Dunkerque,13,51.0347708,2.3772525
 Dijon,13,47.3215806,5.0414701
 Lille,13,50.6365654,3.0635282
 Versailles,12,48.8035403,2.1266886
 Limoges,12,45.8354243,1.2644847
 Charleville,12,48.813549,3.6664318
 Cannes,12,43.5515198,7.0134418
 Mulhouse,12,47.7467233,7.3389937
 Amiens,11,49.8941708,2.2956951
 Evian,11,45.7108265,7.2005023
 Toulon,11,43.1257311,5.9304919
 Saint-Brieuc,10,48.5141134,-2.7603283
 Reims,10,49.2577886,4.031926
 Digne,10,44.0918144,6.2351431
 Saint-Gaudens,9,43.1077682,0.7247218
 Luz Ardiden,9,42.8850872,-0.058821
 Albi,9,43.9277552,2.147899
 Les Sables d'Olonne,9,46.5001552,-1.7925663248751424
 Vannes,9,47.6586772,-2.7599079
 Tours,8,47.3900474,0.6889268
 Mont Ven,8,45.5331262,-73.5753665
 Thonon-les-Bains,8,46.3731303,6.4779448
 Lorient,8,47.7477336,-3.3660907
 Geneva,8,46.2017559,6.1466014
 Brussels (Belgium),8,50.8550018,4.3512333761166175
 Liège (Belgium),8,50.6450944,5.5736112
 Carcassonne,8,43.2130358,2.3491069
 Revel,8,43.4582102,2.005589
