City,Count,Latitude,Longitude
Pau ,65,43.2957547,-0.3685668
Bordeaux ,51,44.841225,-0.5800364
Luchon ,51,42.7910617,0.5912279
Grenoble ,40,45.1875602,5.7357819
Paris ,39,48.8534951,2.3483915
Metz ,38,49.1196964,6.1763552
Nice ,36,43.7009358,7.2683912
Briançon ,34,44.8984037,6.6436313
Perpignan ,34,42.6985304,2.8953121
Caen ,32,49.1813403,-0.3635615
Marseille ,32,43.2961743,5.3699525
Bayonne ,31,43.4945144,-1.4736657
Belfort ,29,47.6379599,6.8628942
Brest ,29,48.3905283,-4.4860088
Montpellier ,28,43.6112422,3.8767337
Toulouse ,26,43.6044622,1.4442469
Roubaix ,25,50.6915893,3.1741734
Nantes ,25,47.2186371,-1.5541362
Gap ,24,44.5612032,6.0820639
Le Bourg-d'Oisans ,22,45.054713,6.0306625
Aix-les-Bains ,21,45.6886292,5.9146362
Strasbourg ,21,48.584614,7.7507127
La Rochelle ,20,46.1591126,-1.1520434
Saint-Étienne ,17,45.4401467,4.3873058
Besançon ,17,47.2380222,6.0243622
Morzine ,16,46.1799561,6.7091057
Nîmes ,16,43.8374249,4.3600687
Lyon ,16,45.7578137,4.8320114
Cherbourg ,16,49.6425343,-1.6249565
Le Havre ,16,49.4938975,0.1079732
Lille ,15,50.6365654,3.0635282
Rouen ,15,49.4404591,1.0939658
Angers ,14,47.4739884,-0.5515588
Dunkerque ,13,51.0347708,2.3772525
Saint-Gaudens ,13,43.1077682,0.7247218
Nancy ,13,48.6937223,6.1834097
Tarbes ,12,43.232858,0.0781021
Vannes ,12,47.6586772,-2.7599079
Evian ,12,45.7108265,7.2005023
Charleville ,12,48.813549,3.6664318
Cannes ,12,43.5515198,7.0134418
Rennes ,12,48.1113387,-1.6800198
Limoges ,11,45.8354243,1.2644847
Clermont-Ferrand ,11,45.7774551,3.0819427
Toulon ,11,43.1257311,5.9304919
Versailles ,11,48.8035403,2.1266886
Carcassonne ,10,43.2130358,2.3491069
Digne ,10,44.0918144,6.2351431
Lorient ,10,47.7477336,-3.3660907
Amiens ,10,49.8941708,2.2956951
Reims ,10,49.2577886,4.031926
Mulhouse ,10,47.7467233,7.3389937
Bagnères-de-Bigorre ,9,43.0658212,0.1530914
Narbonne ,9,43.1837757,3.0041906
Dijon ,9,47.3215806,5.0414701
Brussels (Belgium) ,9,50.8550018,4.3512333761166175
Liège (Belgium) ,9,50.6450944,5.5736112
Geneva ,9,46.2017559,6.1466014
Tours ,9,47.3900474,0.6889268
Les Sables d'Olonne ,9,46.5001552,-1.7925663248751424
Albi ,8,43.9277552,2.147899
Thonon-les-Bains ,8,46.3731303,6.4779448
Dieppe ,8,49.9246182,1.0791444
Troyes ,8,48.2971626,4.0746257
Saint-Brieuc ,7,48.5141134,-2.7603283
Carpentras ,7,44.0554043,5.0487681
Aurillac ,7,44.9285441,2.4433101
Millau ,7,44.1006693,3.0777594
Monaco ,7,43.7323492,7.4276832
Fleurance ,7,43.849295,0.6640617
Saint-Malo ,7,48.649518,-2.0260409
Albertville ,7,45.6754622,6.3925417
Dinan ,7,48.4539775,-2.047687
Royan ,7,45.6245332,-1.0287636
Colmar ,7,48.0777517,7.3579641
Pontarlier ,7,46.9040348,6.3546345
Les Sables-d'Olonne ,7,46.5001552,-1.7925663248751424
Aix-en-Provence ,7,43.5298424,5.4474738
Avignon ,6,43.9492493,4.8059012
Auxerre ,6,47.7961287,3.570579
Dinard ,6,48.6320379,-2.0580178
Luxembourg City (Luxembourg),6,49.6112768,6.129799
Blagnac ,6,43.6434,1.37799
Chamonix ,6,45.9246705,6.8727506
Dunkirk ,6,51.0347708,2.3772525
Ax-les-Thermes ,6,42.7193597,1.8379765
Le Mans ,6,48.0073849,0.1967849
Orléans ,6,47.9027336,1.9086066
Malo-les-Bains ,5,51.0466792,2.3984694
Bordeaux,5,44.841225,-0.5800364
Saint-Girons ,5,42.9841865,1.1464455
Angers,5,47.4739884,-0.5515588
Lannemezan ,5,43.1252298,0.384241
Montluçon ,5,46.3400296,2.6073963
Vire ,5,48.8385198,-0.8893293
Épernay ,5,49.042561,3.9528655
Melun ,5,48.539927,2.6608169
Villard-de-Lans ,5,45.0706211,5.5512698
Dax ,5,43.7084065,-1.0518771
Mourenx ,5,43.3708943,-0.6294321
Béziers ,5,43.3426562,3.2131307
Cholet ,5,47.0617293,-0.8801349
Futuroscope,5,46.66815525,0.3674810487140349
Poitiers ,5,46.5802596,0.340196
Divonne-les-Bains ,5,46.3570916,6.143049
Embrun ,5,44.5641764,6.4958189
Lourdes ,5,43.0940904,-0.0464975
Charleroi (Belgium) ,4,50.4116233,4.444528
Rodez ,4,44.3511408,2.5728493
Dijon,4,47.3215806,5.0414701
Arras ,4,50.291048,2.7772211
Quimper ,4,47.9960325,-4.1024782
Valréas ,4,44.3851455,4.9906089
Agen ,4,44.2015827,0.6176112
Brive-la-Gaillarde ,4,45.1584982,1.5332389
Castres ,4,49.8044444,3.2383333
Nice,4,43.7009358,7.2683912
Bourg-en-Bresse ,4,46.2051192,5.2250324
Saint-Paul-Trois-Châteaux ,4,44.3475554,4.7707325
Bonneval ,4,48.181527,1.3853323
Bourg-Saint-Maurice ,4,45.6185284,6.7694313
Annecy ,4,45.8992348,6.1288847
Saint-Jean-de-Maurienne ,4,45.2775258,6.3453329
Luxembourg City (Luxembourg) ,4,49.6112768,6.129799
Longwy ,4,49.5145564,5.7679082
Lausanne ,4,46.5218269,6.6327025
Bagnères-de-Luchon ,4,42.7910617,0.5912279
Vittel ,4,48.2020717,5.9418851
Brive ,4,45.9460598,5.8304741
Bergerac ,3,44.8534568,0.487531
Soissons ,3,49.3837621,3.327613
Lisieux ,3,49.1460831,0.2255168
Forest (Belgium),3,50.811795,4.3181187
Alençon ,3,48.4312059,0.0911374
La Plagne ,3,45.50429855,6.704912252907272
Périgueux ,3,45.1909365,0.7184407
Avranches ,3,48.6862085,-1.3579476
Fougères ,3,48.3503362,-1.1958526
Issoire ,3,45.5432973,3.2502213
Nevers ,3,46.9876601,3.1577203
Saint-Étienne,3,45.4401467,4.3873058
Sallanches ,3,45.9361246,6.6302551
Revel ,3,43.4582102,2.005589
Versailles,3,48.8035403,2.1266886
West Berlin (West Germany),3,31.9019306,35.1969432
Bagnoles-de-l'Orne ,3,48.5539388,-0.4229186
Épinal ,3,48.1747684,6.4503643
Le Puy-en-Velay ,3,45.0459739,3.8855537
Liège (Belgium),3,50.6450944,5.5736112
Paris,3,48.8534951,2.3483915
Rambouillet ,3,48.6452851,1.819207
La Roche-sur-Yon ,3,46.6705431,-1.4269698
Orcières-Merlette ,3,44.6972064,6.3235516
Saintes ,3,45.7460663,-0.6300671
Rochefort ,3,45.9366592,-0.9616399
Basel (Switzerland) ,3,47.5581077,7.5878261
Langon ,3,44.5530659,-0.2449274
Auch ,3,43.6463558,0.5850507
